video_url,handle,creator_email,creator_followers,language,competitor_brand,is_colostrum,has_product_tag,likes,views,comments,shares,saves,engagement_rate,description,hashtags,music_title,music_author,created_at,duration_seconds,language_confidence,matched_query,video_id,cover_url,scraped_at,source
https://www.tiktok.com/@jenlaurenn/video/7339697324911988014,jenlaurenn,,,English,ARMRA,TRUE,TRUE,,,,,,,Replying to @madzyounz armra review! #armra #colostrum #wellness,,,,,,low,search:ARMRA,7339697324911988014,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@katiejanehughes/video/7543722539978099981,katiejanehughes,,,English,ARMRA,TRUE,TRUE,,,,,,,My Daily Skincare Routine with ARMRA Colostrum,,,,,,low,search:ARMRA,7543722539978099981,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@cynthiamhuang/video/7325892507798097194,cynthiamhuang,,,English,ARMRA,TRUE,TRUE,,,,,,,my honest first impressions of armra colostrum!!! #colostrum #tryarmra #armracolostrum #supplements #supplementsthatwork #vitamins #wellnesstok #wellnessjourney #superfood #guthealth #fyp,,,,,,low,search:ARMRA,7325892507798097194,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@realjessemetcalfe/video/7576744365159238943,realjessemetcalfe,,,English,ARMRA,TRUE,TRUE,,,,,,,HONEST review of Armra Colostrum Supplement. Best Colostrum in the game! @ARMRA,,,,,,high,search:ARMRA,7576744365159238943,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@drnikkakanani/video/7395304560987753758,drnikkakanani,,,English,ARMRA,TRUE,TRUE,,,,,,,Armra Colostrum Doctor Review part. Part 2 coming tomorrow #armracolostrum #colostrum #colostrumbenefits,,,,,,low,search:ARMRA,7395304560987753758,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@whatmojoloves/video/7373064716282826027,whatmojoloves,,,English,ARMRA,TRUE,TRUE,,,,,,,"Replying to @Iza Here is my review on Armra colostrum. Every year the wellness industry picks one new trendy expensive supplement to rally behind. For me, it didn't make enough of a difference to justify the price point so its a hard pass for me. #wellness #productreview #wellnesstips #colostrum #supplements",,,,,,high,search:ARMRA,7373064716282826027,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@wellness.bysha/video/7293365266409393438,wellness.bysha,,,English,ARMRA,TRUE,TRUE,,,,,,,Trying Armra colostrum Day 1 Blood orange flavor review- LOVED IT #armracolostrum #Armra #wellness #productreview #wellnessproducts #wellnesstips #healthyliving #holistichealth @ARMRA,,,,,,low,search:ARMRA,7293365266409393438,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@abigailfeehls/video/7332973868455382314,abigailfeehls,,,English,Miracle Moo,TRUE,TRUE,,,,,,,Jumping on the colostrum train! Thank you Miracle Moo for working with me! Use ABIGAIL10 at checkout - link in bio #miraclemoovement #colostrumreview #colostrum #colostrumbenefits #selfcare #morningroutine,,,,,,high,search:Miracle Moo,7332973868455382314,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@terri_cardenas/video/7298548045627657503,terri_cardenas,,,unknown,Miracle Moo,TRUE,TRUE,,,,,,,Miracle moo bovine colostrum #miraclemoocolostrum #energy #boostimmunity #keepyouregular #grassfed #fyp #foryou #tiktokfamous #Duet,,,,,,from_creator,search:Miracle Moo,7298548045627657503,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@soheman/video/7421687867702971694,soheman,,,unknown,Miracle Moo,TRUE,TRUE,,,,,,,Miracle Moo Colostrum Powder Unflavared #falldealsforyou #tiktokbacktoschool #tiktokshop #tiktokusa #reviews #health #guthealth #immuneboost,,,,,,from_creator,search:Miracle Moo,7421687867702971694,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@gisellee_ramirezz/video/7415745780578831659,gisellee_ramirezz,,,Spanish,Miracle Moo,TRUE,TRUE,,,,,,,Miracle Moo Colostrum Powder #calostrobovino #colostrumbenefits #colostrum #sistemadigestivo #sistemainmunologico #treasurefinds #septemberfinds @Miracle Moo #español,,,,,,low,search:Miracle Moo,7415745780578831659,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@virginiaavc/video/7288361419639213355,virginiaavc,,,unknown,Miracle Moo,TRUE,TRUE,,,,,,,#greenscreenvideo #miraclemoo #miraclemorningroutine #miraclemoonmagic #collostrum #calostrobovino #calostrobovinopuro #viral #tiktokviral,,,,,,from_creator,search:Miracle Moo,7288361419639213355,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@veronika_vasquezr/video/7387874320539749675,veronika_vasquezr,,,unknown,Miracle Moo,TRUE,TRUE,,,,,,,Miracle Moo Colostrum Powder #viralforyourpage,,,,,,from_creator,search:Miracle Moo,7387874320539749675,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@colostrumlovers/video/7285407400138427690,colostrumlovers,,,English,Miracle Moo,FALSE,TRUE,,,,,,,Miracle moo its magic. Link in my bio #health,,,,,,low,search:Miracle Moo,7285407400138427690,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@nicollefigueroaa/video/7370905706226076970,nicollefigueroaa,,,Spanish,Miracle Moo,FALSE,TRUE,,,,,,,Realmente me ha ayudado muchisimo | miracle moo,,,,,,high,search:Miracle Moo,7370905706226076970,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@nicollefigueroaa/video/7436927845638622510,nicollefigueroaa,,,Spanish,Miracle Moo,FALSE,TRUE,,,,,,,Mi experiencia con el milagroso producto miracle moo en 30 dias,,,,,,high,search:Miracle Moo,7436927845638622510,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@valereviews/video/7325916397366758687,valereviews,,,Spanish,,TRUE,FALSE,,,,,,,Puedes encontrar el calostro bovino en la TikTok Shop!,,,,,,high,search:Miracle Moo,7325916397366758687,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@resetnutricional/video/7320395718655610118,resetnutricional,,,Spanish,Miracle Moo,TRUE,TRUE,,,,,,,Cai en la mercadotecnia de TikTok. Ya has probado este suplemento? #miraclemoo #suplementos #calostrobovino #nutricion #fyp,,,,,,high,search:Miracle Moo,7320395718655610118,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@leahdajud/video/7322121129433320709,leahdajud,,,Spanish,Miracle Moo,TRUE,TRUE,,,,,,,"Desmintiendo el suplemento Calostro bovino de moda en TikTok. No hay atajos magicos. Confien en su nutriologo, no en las modas. #nutrifacts #fitness #calostrobovino #desmintiendotiktoks #nutricion #nutriologa #miraclemoo #saludable #wellness",,,,,,high,search:Miracle Moo,7322121129433320709,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@cayleyxox/video/7291013931995303214,cayleyxox,,,English,WonderCow,TRUE,TRUE,,,,,,,Anyone else taking this!? Loving it so far! @WonderCow Colostrum #colostrum #colostrumbenefits #tryarmra,,,,,,low,search:WonderCow,7291013931995303214,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@bombontec/video/7347899259590561067,bombontec,,,Spanish,WonderCow,TRUE,TRUE,,,,,,,Calostro Bovino suplemento @WonderCow #wondercow @TikTok Shop #tiktokspringsale #keeptiktok,,,,,,low,search:WonderCow,7347899259590561067,,2026-08-28 17:23:25,web_search
https://www.tiktok.com/@resetnutricional/video/7370800235007823109,resetnutricional,,,Spanish,Cowabunga,TRUE,TRUE,,,,,,,"Evidencia cientifica que avala la suplementacion de Calostro Bovino con una mejora en el manejo de estres oxidativo, radicales libres, mejor sistema inmunologico y digestivo! Cowabunga Colostrum - Tiktok Shop en mi cuenta #calostrobovino #cowabungacolostrum #suplemento #nutricion #nutriologa #viral",,,,,,high,search:Cowabunga,7370800235007823109,,2026-08-28 17:23:25,web_search
